Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,22,10,2,5.0000,5.0000,1000.00,0.00,4834.57,10000.00,2026-04-17T22:16:09.4782941Z
1,23,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:11.5872262Z
1,24,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:13.6892139Z
1,25,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:15.7932377Z
1,26,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:17.8937662Z
1,27,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:19.9982490Z
1,28,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:22.1006510Z
1,29,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:24.1928512Z
1,30,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:26.2833255Z
1,31,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:28.3892314Z
1,32,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:30.4905805Z
1,33,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:32.5846861Z
1,34,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:34.6785540Z
1,35,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:36.7749997Z
1,36,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:38.8661771Z
1,37,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:40.9589283Z
1,38,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:43.0538300Z
1,39,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:45.1486107Z
1,40,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:47.2532872Z
1,41,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:49.3459880Z
1,42,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:51.4424237Z
1,43,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:53.5340227Z
1,44,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:55.6344409Z
1,45,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:57.7267569Z
1,46,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:16:59.8324782Z
1,47,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:01.9338164Z
1,48,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:04.0376028Z
1,49,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:06.1318723Z
1,50,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:08.2338252Z
1,51,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:10.3310931Z
